name	within	uri	long	lat	types
Burkina Faso		http://aims.fao.org/aos/geopolitical.owl#Burkina_Faso			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Burundi		http://aims.fao.org/aos/geopolitical.owl#Burundi			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Cambodia		http://aims.fao.org/aos/geopolitical.owl#Cambodia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Cameroon		http://aims.fao.org/aos/geopolitical.owl#Cameroon			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Canada		http://aims.fao.org/aos/geopolitical.owl#Canada			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Cape Verde		http://aims.fao.org/aos/geopolitical.owl#Cape_Verde			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Caribbean		http://aims.fao.org/aos/geopolitical.owl#Caribbean			loc;group;area;region;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Cayman Islands		http://aims.fao.org/aos/geopolitical.owl#Cayman_Islands			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Central African Republic		http://aims.fao.org/aos/geopolitical.owl#Central_African_Republic_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Chad		http://aims.fao.org/aos/geopolitical.owl#Chad			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Chile		http://aims.fao.org/aos/geopolitical.owl#Chile			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
China		http://aims.fao.org/aos/geopolitical.owl#China			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Colombia		http://aims.fao.org/aos/geopolitical.owl#Colombia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Comoros		http://aims.fao.org/aos/geopolitical.owl#Comoros_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Congo		http://aims.fao.org/aos/geopolitical.owl#Congo_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
