uri	name	types	within	lat	long
http://aims.fao.org/aos/geopolitical.owl#Bulgaria	Bulgaria	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Burkina_Faso	Burkina Faso	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Burundi	Burundi	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cambodia	Cambodia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cameroon	Cameroon	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Canada	Canada	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cape_Verde	Cape Verde	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Caribbean	Caribbean	loc;http://aims.fao.org/aos/geopolitical.owl#group;area;region;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cayman_Islands	Cayman Islands	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Central_African_Republic_the	Central African Republic	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Chad	Chad	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Chile	Chile	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#China	China	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Colombia	Colombia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Comoros_the	Comoros	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Congo_the	Congo	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cook_Islands_the	Cook Islands	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Costa_Rica	Costa Rica	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cote_d_Ivoire	C&#244;te d'Ivoire	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Croatia	Croatia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cuba	Cuba	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Curacao	Cura&#231;ao 	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Cyprus	Cyprus	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Czech_Republic_the	Czech Republic	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Czechoslovakia	Czechoslovakia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Democratic_People_s_Republic_of_Korea_the	North Korea	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Democratic_Republic_of_the_Congo	Democratic Republic of the Congo	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Democratic_Yemen	Yemen, Democratic	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Denmark	Denmark	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Djibouti	Djibouti	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Dominica	Dominica	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Dominican_Republic_the	Dominican Republic	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Ecuador	Ecuador	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Egypt	Egypt	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#El_Salvador	El Salvador	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Equatorial_Guinea	Equatorial Guinea	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Eritrea	Eritrea	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Estonia	Estonia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Ethiopia	Ethiopia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Ethiopia_1993	Ethiopia_1993	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Europe	Europe	loc;http://aims.fao.org/aos/geopolitical.owl#group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Falkland_Is	Falkland Islands	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Faroe_Islands	Faroe Islands	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Federal_Republic_of_Germany_the	Germany, Federal Republic of	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Fiji	Fiji	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Finland	Finland	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#France	France	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#French_Guiana	French Guiana	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#French_Polynesia	French Polynesia	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Gabon	Gabon	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
