original|improved
AMER PSYCHIATRIC PUBLISHING, INC|AMERICAN PSYCHIATRIC PUBLISHING
AMER PSYCHIATRIC PUBLISHING, INC|AMERICAN PSYCHIATRIC PUBLISHING, INC
AMER PUBLIC HEALTH ASSOC INC|AMERICAN PUBLIC HEALTH ASSOCIATION
AMER PUBLIC HEALTH ASSOCIATION INC|AMERICAN PUBLIC HEALTH ASSOCIATION
AMER SOC AGRICULTURAL \& BIOLOGICAL ENGINEERS|AMERICAN SOCIETY OF AGRICULTURAL AND BIOLOGICAL ENGINEERS
AMER SOC AGRONOMY|AMERICAN SOCIETY OF AGRONOMY
AMERICAN SOCIETY AGRONOMY|AMERICAN SOCIETY OF AGRONOMY
AMER SOC ANIMAL SCIENCE|AMERICAN SOCIETY OF ANIMAL SCIENCE
AMER SOC BIOCHEMISTRY MOLECULAR BIOLOGY INC|AMERICAN SOCIETY OF BIOCHEMISTRY AND MOLECULAR BIOLOGY
AMER SOC CLINICAL INVESTIGATION INC|AMERICAN SOCIETY FOR CLINICAL INVESTIGATION    
AMER SOC CLINICAL ONCOLOGY|AMERICAN SOCIETY OF CLINICAL ONCOLOGY
AMER SOC CLINICAL PATHOLOGY|AMERICAN SOCIETY FOR CLINICAL PATHOLOGY
AMERICAN SOCIETY CLINICAL PATHOLOGY|AMERICAN SOCIETY FOR CLINICAL PATHOLOGY
AMER SOC ENGINEERING EDUCATION|AMERICAN SOCIETY FOR ENGINEERING EDUCATION
AMERICAN ACADEMY FAMILY PHYSICIANS|AMERICAN ACADEMY OF FAMILY PHYSICIANS
AMER SOC HEALTH-SYSTEM PHARMACISTS|AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS
AMER SOC HEMATOLOGY|AMERICAN SOCIETY OF HEMATOLOGY
AMER SOC HORTICULTURAL SCIENCE|AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE
AMERICAN SOCIETY HORTICULTURAL SCIENCE|AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE
AMER SOC ICHTHYOLOGISTS \& HERPETOLOGISTS|AMERICAN SOCIETY OF ICHTHYOLOGISTS AND HERPETOLOGISTS
AMER SOC ICHTHYOLOGISTS HERPETOLOGISTS|AMERICAN SOCIETY OF ICHTHYOLOGISTS AND HERPETOLOGISTS
AMER SOC LIMNOLOGY OCEANOGRAPHY|ASSOCIATION FOR THE SCIENCES OF LIMNOLOGY AND OCEANOGRAPHY
AMER SOC MICROBIOLOGY|AMERICAN SOCIETY FOR MICROBIOLOGY
AMERICAN SOCIETY MICROBIOLOGY|AMERICAN SOCIETY FOR MICROBIOLOGY
AMER SOC NEPHROLOGY|AMERICAN SOCIETY OF NEPHROLOGY
AMER SOC NEURORADIOLOGY|AMERICAN SOCIETY OF NEURORADIOLOGY
AMER SOC NUTRITIONAL SCIENCE|AMERICAN SOCIETY FOR NUTRITIONAL SCIENCE
AMER SOC NUTRITION-ASN|AMERICAN SOCIETY FOR NUTRITION
AMER SOC PARASITOLOGISTS|AMERICAN SOCIETY PARASITOLOGYSTS
AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS|AMERICAN SOCIETY FOR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS
AMER SOC PHOTOGRAMMETRY|AMERICAN SOCIETY FOR PHOTOGRAMMETRY AND REMOTE SENSING
AMER SOC PLANT BIOLOGISTS|AMERICAN SOCIETY OF PLANT BIOLOGISTS
AMER SOC PLANT TAXONOMISTS|AMERICAN SOCIETY OF PLANT TAXONOMISTS
AMER SOC TESTING MATERIALS|ASTM INTERNATIONAL
AMER SOC TROP MED \& HYGIENE|AMERICAN SOCIETY OF TROPICAL MEDICINE AND HYGIENE
AMERICAN ALLIANCE HEALTH PHYS EDUC REC AND DANCE|AMERICAN ALLIANCE FOR HEALTH, PHYSICAL EDUCATION, RECREATION AND DANCE
AMERICAN BOARD FAMILY MEDICINE|AMERICAN BOARD OF FAMILY MEDICINE
American Diabetes Association|AMERICAN DIABETES ASSOCIATION
AMERICAN INSTITUTE OF BIOLOGICAL SCIENCE|AMERICAN INSTITUTE OF BIOLOGICAL SCIENCES
ANNALS FAMILY MEDICINE|ANNALS OF FAMILY MEDICINE
Arkat Usa Inc|ARKAT USA, INC
ARCHAEOLOGIES-JOURNAL OF THE WORLD ARCHAEOLOGICAL CONGRESS|ARCHAEOLOGIES- THE JOURNAL OF THE WORLD ARCHAEOLOGICAL CONGRESS
ASCE-AMER SOC CIVIL ENGINEERS|AMERICAN SOCIETY OF CIVIL ENGINEERS
ASCE-AMERICAN SOCIETY CIVIL ENGINEERS|AMERICAN SOCIETY OF CIVIL ENGINEERS
ASME|AMERICAN SOCIETY OF MECHANICAL ENGINEERS
ASME-AMERICAN SOCIETY MECHANICAL ENGINEERS|AMERICAN SOCIETY OF MECHANICAL ENGINEERS
ASSOC BRASILEIRA HORTICULTURA|HORTICULTURAL ASSOCIATION OF BRAZIL   
ASSOC COMPUTING MACHINERY|ASSOCIATION FOR COMPUTING MACHINERY
ASSOC EDUC JOURNALISM MASS COMMUNICATION|ASSOCIATION FOR EDUCATION IN JOURNALISM AND MASS COMMUNICATIONS    
ASSOC EDUCATION JOURNALISM MASS COMMUNICATION|ASSOCIATION FOR EDUCATION IN JOURNALISM AND MASS COMMUNICATIONS
ASSOC FIRE ECOLOGY|ASSOCIATION FOR FIRE ECOLOGY
ASSOC NAC HISTORIA-ANPUH|ASSOCIATION NATIONAL DE HISTORIA-ANPUH
ASSOC RESEARCH VISION OPHTHALMOLOGY INC|ASSOCIATION FOR RESEARCH IN VISION AND OPHTHALMOLOGY
ASSOC SCHOOLS PUBLIC HEALTH|ASSOCIATION OF SCHOOLS OF PUBLIC HEALTH
ASSOCIATION COMPUTING MACHINERY|ASSOCIATION OF COMPUTING MACHINERY
ASSOCIATION MILITARY SURGEONS US|ASSOCIATION OF MILITARY SURGEONS OF THE UNITED STATES
AUSTRALIAN PHYSIOTHERAPY ASSOC|AUSTRALIAN PHYSIOTHERAPY ASSOCIATION
BAISHIDENG PUBL GRP CO LTD|BAISHIDENG PUBLISHING GROUP COMPANY LIMITED
BOTANICAL SOC AMER INC|BOTANICAL SOCIETY OF AMERICA
BOTANICAL SOCIETY AMERICAN INC|BOTANICAL SOCIETY OF AMERICA
BOTANICAL SOCIETY OF AMERICA|BOTANICAL SOCIETY OF AMERICA
BRITISH CATTLE VETERINARY ASSOC|BRITISH CATTLE VETERINARY ASSOCIATION
BRITISH HERPETOL SOC|BRITISH HERPETOLOGICAL SOCIETY
BRITISH INSTITUTE RADIOLOGY|BRITISH INSTITUTE OF RADIOLOGY
CALCULUS OF VARIATIONS AND PARTIAL DIFFE|CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS
CANADIAN ASSOC OCCUPATIONAL THERAPISTS|CANADIAN ASSOCIATION OF OCCUPATIONAL THERAPISTS
CENTERS DISEASE CONTROL|CENTERS FOR DISEASE CONTROL AND PREVENTION
Centers for Disease Control and Preventi|CENTERS FOR DISEASE CONTROL AND PREVENTION
CENTRAL MICHIGAN UNIVERSITY CLARKE HISTO|CENTRAL MICHIGAN UNIVERSITY CLARKE HISTORICAL LIBRARY
CHIANG MAI UNIV|CHIANG MAI UNIVERSITY
CHINESE INST ENGINEERS|CHINESE INSTITUTE OF ENGINEERS
Chin Society Immunology|CHINESE SOCIETY FOR IMMUNOLOGY
CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS|CHURCHILL LIVINGSTONE
CLINICAL and EXPER RHEUMATOLOGY|CLINICAL AND EXPERIMENTAL RHEUMATOLOGY
CMA-CANADIAN MEDICAL ASSOC|CANADIAN MEDICAL ASSOCIATION
COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPARTMENT|COLD SPRING HARBOR LABORATORY PRESS
COLL AMER PATHOLOGISTS|COLLEGE OF AMERICAN PATHOLOGISTS
COMMONWEALTH FORESTRY ASSOC|COMMONWEALTH FORESTRY ASSOCIATION
CORWIN PRESS INC A SAGE PUBLICATIONS CO|SAGE PUBLICATIONS COMPANY
COUNCIL CHILDREN BEHAVIORAL DISORDERS|COUNCIL FOR CHILDREN WITH BEHAVIORAL DISORDERS
COUNCIL EXCEPTIONAL CHILDREN|COUNCIL FOR EXCEPTIONAL CHILDREN
COUNCIL LEARNING DISABILITIES|COUNCIL FOR LEARNING DISABILITIES
CROP SCIENCE SOC AMER|CROP SCIENCE SOCIETY OF AMERICA
CURRENT HIST INC|CURRENT HISTORY
DENVER UNIV LAW REV|DENVER UNIVERSITY LAW REVIEW
DE GRUYTER OPEN LTD|DE GRUYTER OPEN LIMITED
ECOLOGICAL SOC AMER|ECOLOGICAL SOCIETY OF AMERICA
ECOLOGICAL SOCIETY AMERICAN|ECOLOGICAL SOCIETY OF AMERICA
ELSEVIER SCI LTD|ELSEVIER SCIENCE LTD
ENDOCRINESOC|THE ENDOCRINE SOCIETY
ENTOMOLOGICAL SOCIETY TURKEY, EGE UNIVER|ENTOMOLOGICAL SOCIETY TURKEY, EGE UNIVERSITY
ENTOMOLOGICAL SOC AMER|ENTOMOLOGICAL SOCIETY OF AMERICA
ENTOMOLOGICAL SOC BRASIL|ENTOMOLOGICAL SOCIETY OF BRASIL
ENTOMOL SOC WASHINGTON|ENTOMOLOGICAL SOCIETY OF WASHINGTON
EUR CENTRE DIS PREVENTION \& CONTROL|EUROPEAN CENTRE FOR DISEASE PREVENTION AND CONTROL
EUROPEAN ASSOC AQUATIC MAMMALS|EUROPEAN ASSOCIATION FOR AQUATIC MAMMALS
EUROPEAN MATHEMATICAL SOC|EUROPEAN MATHEMATICAL SOCIETY
EURASIA|EURASIA JOURNAL OF MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION
EWHA WOMANS UNIV PRESS|EWHA WOMANS UNIVERSITY PRESS
