original|improved
SOC STUDY REPRODUCTION|SOCIETY FOR THE STUDY OF REPRODUCTION
SOC TEACHERS FAMILY MEDICINE|SOCIETY OF TEACHERS OF FAMILY MEDICINE
SOC TEACHERS FAMILY MEDICINE|SOCIETY OF TEACHERS OF FAMILY MEIDCINE
SOC VERTEBRATE PALEONTOLOGY|SOCIETY OF VERTEBRATE PALEONTOLOGY
SOIL SCI SOC AMER|SOIL SCIENCE SOCIETY OF AMERICA
SOUTHERN APPALACHIAN BOTANICAL SOC, NEWBERRY COLL|SOUTHERN APPALACHIAN BOTANICAL SOCIETY
SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS|THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS
SPIE-SOC PHOTOPTICAL INSTRUMENTATION ENGINEERS|SOCIETY OF PHOTOPTICAL INSTRUMENTATION ENGINEERS
TEACHERS COLL OF COLUMBIA UNIV|TEACHERS COLLEGE OF COLUMBIA UNIVERSITY
TOHOKU UNIV MEDICAL PRESS|TOHOKU UNIVERSITY MEDICAL PRESS
TROPICAL CONSERVATION SCIENCE|TROPICAL CONSERVATION SCIENCE
UNIV ANTIOQUIA, FAC CIENCIAS AGRARIAS|UNIVERSITY OF ANTIOQUIA, FAC CIENCIAS AGRARIAS
UNIV CALIF|UNIVERSITY OF CALIFORNIA
UNIVERSITY OF CALIFORNIAORNIA PRESS |UNIVERSITY OF CALIFORNIA
UNIVERSITY CORDOBA|UNIVERSITY OF CORDOBA
University Virginia|UNIVERSITY OF VIRGINIA
UNIV CHICAGO PRESS|UNIVERSITY OF CHICAGO PRESS
UNIV FEDERAL UBERLANDIA|UNIVERSITY OF FEDERAL UBERLANDIA
UNIV HAWAII PRESS|UNIVERSITY OF HAWAII PRESS
UNIV ILLINOIS PRESS|UNIVERSITY OF ILLINOIS PRESS
UNIV ILLINOIS, URBANA-CHAMPAIGN|UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN
UNIV IOWA, COLL LAW|UNIVERSITY OF IOWA, COLLEGE LAW
UNIV KRAGUJEVAC, FAC SCIENCE|FACULTY OF MEDICAL SCIENCES UNIVERSITY OF KRAGUJEVAC
UNIV LAVAL|UNIVERSITY LAVAL
UNIV MARYLAND-CTR RENAISSANCE \& BAROQUE STUD|CENTER FOR RENAISSANCE AND BAROQUE STUDIES
UNIV MINNESOTA PRESS|UNIVERSITY OF MINNESOTA PRESS
UNIV NAPLES FEDERICO II|UNIVERSITY OF NAPLES FEDERICO II
UNIV NEW MEXICO|UNIVERSITY OF NEW MEXICO
UNIV NORTH CAROLINA |UNIVERSITY OF NORTH CAROLINA
UNIV PENNSYLVANIA PRESS|UNIVERSITY OF PENNSYLVANIA PRESS
UNIV SAO PAOLO|UNIVERSITY OF SAO PAOLO
UNIV TEHRAN|UNIVERSITY OF TEHRAN
UNIV WISCONSIN LAW SCHOOL|UNIVERSITY OF WISCONSIN LAW SCHOOL
UROL \& NEPHROL RES CTR-UNRC|UROLOGY AND NEPHROLOGY RESEARCH CENTER
WEED SCI SOC AMER|WEED SCIENCE SOCIETY OF AMERICA
WILDLIFE DISEASE ASSOC, INC|WILDLIFE DISEASE ASSOCIATION, INC
WORLD SCIENTIFIC PUBL COMPANY PTE LTD|WORLD SCIENTIFIC PUBLISHING CO. PTE. LTD.
UNIV WISCONSIN PRESS |UNIVERSITY OF WISCONSIN PRESS
Classical Association Canada|The Classical Association of Canada
Elife Sciences Publications Ltd|eLife Sciences Publications, Ltd
{{|{
}}|}
``|'
{''}|&quot;
,}|}
\&|and
&|and
Web of Science|Web-of-Science
Meeting Abstract|Meeting-Abstract
\{[}\}| 
