uri	deptid	photo	type	name	title
http://vivo.ufl.edu/individual/n808275388	32080200;32010100;32080300;32010000;32050000;32010300;32061400;32010200;32060400;32040000;32060500;32060501;32061100;32080400;32080500;32010500;32061300;32060000;32061200;32070100;32070000;32080000;32080100;32000000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#FacultyMember	Saunders, Meghan P	
http://vivo.ufl.edu/individual/n8083			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#NonAcademic;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Thomas, Melissa H	Pa
http://vivo.ufl.edu/individual/n808516802	29050604;29050600;29050601;29050602;29050603		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://vivoweb.org/ontology/core#Postdoc;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#NonFacultyAcademic	Liu, Xiangfei	
http://vivo.ufl.edu/individual/n80851922	28100100;28100101;28100102;28100500;28100800;28100900;28100200;28100600;28100300;28100700;28100000;28100400;28101000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Owen, Jennifer L	
http://vivo.ufl.edu/individual/n8086	30090000;30090100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Benjamin-Thorpe, Solange N	Clinical Assistant Professor-Jax
http://vivo.ufl.edu/individual/n808654610	29150100;29150000;29150300		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#FacultyMember	Shulman, Julia	
http://vivo.ufl.edu/individual/n8087	16060200;16067000;16069050;16069000;16060000;16062000;16060100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Zhao, Bo	Assistant Scientist
http://vivo.ufl.edu/individual/n80877636	11030000;11010000;11070000;11050000;11080000;11020000;11010100;11040000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Research,Jim	
http://vivo.ufl.edu/individual/n80946	34170200		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Roulet, Jean-Francois	Professor
http://vivo.ufl.edu/individual/n8095	60355000;60352101;60353200;60354000;60355100;60352000;60351200;60356000;60350000;60355200;60354200;60352200;60353000;60351100;60357000;60354100;60351000;60353100;60352100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Kent, Heather C	RSA & Ext Agt III, 4-H Youth Development
