uri	abbreviation	url	number	name	photo
http://vivo.ufl.edu/individual/n1793247607			358	Parking Garage 4 (Museum Rd)	
http://vivo.ufl.edu/individual/n1801646415			1195	Smokers Shelter (Infirmary)	
http://vivo.ufl.edu/individual/n1810585651			541	Housing Furniture Shop	
http://vivo.ufl.edu/individual/n1818988781			711	Headhouse	
http://vivo.ufl.edu/individual/n1853373943			483	Animal Science Preparation Bld	
http://vivo.ufl.edu/individual/n1862604550			1291	Plant Pathology Diagnostics Lab	
http://vivo.ufl.edu/individual/n1883306078			773	Radiation Control Storage	
http://vivo.ufl.edu/individual/n1893655818			808	Hvac/Electrical Shop	
http://vivo.ufl.edu/individual/n1895521083			155	Florida Field South End Zone	
http://vivo.ufl.edu/individual/n1901312855			590	Thomas M. Simpson Hall	
http://vivo.ufl.edu/individual/n1911460360			254	Parking Garage Complex	
http://vivo.ufl.edu/individual/n1920466625			1003	Keys Residential Complex	
http://vivo.ufl.edu/individual/n1930287036			812	Equipment Storage	
http://vivo.ufl.edu/individual/n1943870762			961	Shadehouse	
http://vivo.ufl.edu/individual/n1961522954			165	Deriso Hall	
http://vivo.ufl.edu/individual/n1964284472			116	IFAS Communication Services	
http://vivo.ufl.edu/individual/n1964908685			1128	Brain Institute Bridge	
http://vivo.ufl.edu/individual/n1967492852			499	Animal Sciences Building	
http://vivo.ufl.edu/individual/n1967847558			693	Soils Plant Preparation Lab	
http://vivo.ufl.edu/individual/n1969660193			1077	Wwtp Bnr Basins	
http://vivo.ufl.edu/individual/n1975199402			757	Spessard L. Holland Law Center	
http://vivo.ufl.edu/individual/n1981965054			776	Greenhouse	
http://vivo.ufl.edu/individual/n1984751992			172	Newell Annex	
http://vivo.ufl.edu/individual/n198512615			233	UF Substation #6	
http://vivo.ufl.edu/individual/n1986101234			663	Warehouse	
http://vivo.ufl.edu/individual/n1990975090			978	"Greenhouse, Ornamental Horticulture"	
http://vivo.ufl.edu/individual/n1991213198			914	Equipment Storage	
http://vivo.ufl.edu/individual/n1995378652			445	Stetson Medical Sciences	
http://vivo.ufl.edu/individual/n199614860			494	UF Substation #2	
http://vivo.ufl.edu/individual/n2003349679			735	"Greenhouse, Agronomy"	
http://vivo.ufl.edu/individual/n2009141285			624	Greenhouse	
http://vivo.ufl.edu/individual/n2017524862			75	Veterinary Small Animal Hospital	
http://vivo.ufl.edu/individual/n2022712559			627	Animal Science Hay Barn	
http://vivo.ufl.edu/individual/n2030679444			947	Apiary Storage Building	
http://vivo.ufl.edu/individual/n203365901			660	Headhouse/Greenhouse	
http://vivo.ufl.edu/individual/n2038813873			85	Agronomy Physiology Lab	
http://vivo.ufl.edu/individual/n2040131673			1068	Clarifier (West)	
http://vivo.ufl.edu/individual/n204762			94	Stephen C. O'Connell Center	77-21932-F.jpg
http://vivo.ufl.edu/individual/n2059011718			319	University Village	
http://vivo.ufl.edu/individual/n2066088975			885	Plant Cell/Molecular Bio Lab	
http://vivo.ufl.edu/individual/n2082869655			1007	Keys Residential Complex	
http://vivo.ufl.edu/individual/n2089546616			935	Agronomy Plant Science Lab	
http://vivo.ufl.edu/individual/n2096116452			775	Organic Garden Storage	
http://vivo.ufl.edu/individual/n2137742058			382	Maguire 18	
http://vivo.ufl.edu/individual/n2137901185			771	Microfabritech West	
http://vivo.ufl.edu/individual/n2137943261			51	University Police Annex #1	
http://vivo.ufl.edu/individual/n2143442869			1296	Fuel Storage Tank	
http://vivo.ufl.edu/individual/n2155469816			689	Library West	
http://vivo.ufl.edu/individual/n2158190172			299	Diamond	
http://vivo.ufl.edu/individual/n2163403868			744	Swine Unit Feed Mill	
http://vivo.ufl.edu/individual/n2189548976			1299	Entomology Greenhouse	
http://vivo.ufl.edu/individual/n2199893368			417	Alpha Epsilon Phi	
http://vivo.ufl.edu/individual/n2201609943			49	CWP #3 Walker Cooling Towers	
http://vivo.ufl.edu/individual/n2216348772			958	Chemical Engineering Student Center	
http://vivo.ufl.edu/individual/n2227079721			1355	Polyhouse	
http://vivo.ufl.edu/individual/n2239358200			392	Maguire 28	
http://vivo.ufl.edu/individual/n2247441375			835	Physical Plant Grounds Storage	
http://vivo.ufl.edu/individual/n2254052122			697	Research Lab	
http://vivo.ufl.edu/individual/n2278144233			556	Little Hall Express	
http://vivo.ufl.edu/individual/n2278468883			1249	Greenhouse-Fruit Drying	
http://vivo.ufl.edu/individual/n2279541356			580	Coastal Engineering Lab	
http://vivo.ufl.edu/individual/n2280906740			574	Hume Hall Staff Apartments	
http://vivo.ufl.edu/individual/n2285489841			1303	Greenhouse	
http://vivo.ufl.edu/individual/n2304976993			105	The 105 Classroom Building	
http://vivo.ufl.edu/individual/n2305072148			488	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n2306032839			242	Solar Energy Test House 2	
http://vivo.ufl.edu/individual/n2311611885			729	Coastal Engineering Storage	
http://vivo.ufl.edu/individual/n232197267			257	Recreational Tennis Facility	
http://vivo.ufl.edu/individual/n2324553141			1275	"Greenhouse, Entomology"	
http://vivo.ufl.edu/individual/n2325818093			506	Baseball Stadium Ticket Booth	
http://vivo.ufl.edu/individual/n2331870693			1084	Springs Residential Complex	
http://vivo.ufl.edu/individual/n2335087688			56	IFAS Restroom	
http://vivo.ufl.edu/individual/n2356717090			1179	Osmi Support Building	
http://vivo.ufl.edu/individual/n236082111			1021	Equine Barn B	
http://vivo.ufl.edu/individual/n2378332731			1292	"Storage, Nematology"	
http://vivo.ufl.edu/individual/n2421594402			1747	Police UHF Radio Tower	
http://vivo.ufl.edu/individual/n2434557299			886	UF Bookstore and Welcome Center	
http://vivo.ufl.edu/individual/n243848065			930	"Greenhouse, Agronomy"	
http://vivo.ufl.edu/individual/n2448148684			856	Earle B. Phelps Lab	
http://vivo.ufl.edu/individual/n2456024219			300	Diamond	
http://vivo.ufl.edu/individual/n2463924173			475	Food Science and Human Nutrition	
http://vivo.ufl.edu/individual/n2464149879			434	Behavior Lab Annex	
http://vivo.ufl.edu/individual/n2493035803			1063	Water Reclamation Storage Tank	
http://vivo.ufl.edu/individual/n2497085670			444	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n2548304966			399	Sigma Nu	
http://vivo.ufl.edu/individual/n2568079687			651	"Greenhouse, Agronomy"	
http://vivo.ufl.edu/individual/n257271874			753	Housing Office	
http://vivo.ufl.edu/individual/n258931229			875	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n2598828265			474	Frazier Rogers Hall	
http://vivo.ufl.edu/individual/n2612242239			29	David Stuzin Hall	
http://vivo.ufl.edu/individual/n2624984773			760	Engineering Design Building	
http://vivo.ufl.edu/individual/n2634115736			213	Biomedical Sciences Building	
http://vivo.ufl.edu/individual/n2635242955			413	Alpha Chi Omega	
http://vivo.ufl.edu/individual/n2651343645			1175	UF Hotel and Conference Center	
http://vivo.ufl.edu/individual/n2652577750			853	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n2662469919			1048	Fiber Hut Mowry	
http://vivo.ufl.edu/individual/n2669531060			391	Maguire 27	
http://vivo.ufl.edu/individual/n267810615			118	Vet Med Isolation Barn	
http://vivo.ufl.edu/individual/n2686279217			25	Chilled Water Plant #1	
http://vivo.ufl.edu/individual/n2688206333			596	May A. Mann Jennings Hall Office	
http://vivo.ufl.edu/individual/n2702217836			194	Agronomy Volatile Storage	
http://vivo.ufl.edu/individual/n2710246724			92	Physics Building	
http://vivo.ufl.edu/individual/n2712497519			1082	Springs Residential Complex	
http://vivo.ufl.edu/individual/n272533333			1207	"Greenhouse, Fruit Crops"	
http://vivo.ufl.edu/individual/n2729095126			740	"Greenhouse, Forestry"	
http://vivo.ufl.edu/individual/n2740104511			824	"Greenhouse, Agronomy"	
http://vivo.ufl.edu/individual/n2753629635			795	Natl Storage Building	
http://vivo.ufl.edu/individual/n2758852088			302	Diamond	
http://vivo.ufl.edu/individual/n2761303564			64	Hough Hall	
http://vivo.ufl.edu/individual/n2765893866			54	Gerson Hall	
http://vivo.ufl.edu/individual/n2782536575			1105	Norman Hall Walkways	
http://vivo.ufl.edu/individual/n2791151746			5	George S. Smathers Library	
http://vivo.ufl.edu/individual/n2793428715			352	Borc Restroom	
http://vivo.ufl.edu/individual/n2822081468			974	IFAS Pump House	
http://vivo.ufl.edu/individual/n2827784199			554	Nuclear Field Building	
http://vivo.ufl.edu/individual/n2834485621			15	Henry H. Buckman Hall	
http://vivo.ufl.edu/individual/n2840840371			385	Maguire 21	
http://vivo.ufl.edu/individual/n2842588694			838	Chemical Storage	
http://vivo.ufl.edu/individual/n2847305132			1150	Smathers Emergency Generator	
http://vivo.ufl.edu/individual/n2860053543			683	EH&S Program Support Building	
http://vivo.ufl.edu/individual/n2875649174			976	Fertilizer Storage	
http://vivo.ufl.edu/individual/n2892702649			557	Nuclear Reactor	
http://vivo.ufl.edu/individual/n2901655257			206	Basic Science Building	
http://vivo.ufl.edu/individual/n2913398021			269	Fine Arts D	
http://vivo.ufl.edu/individual/n2914889214			1210	Carport	
http://vivo.ufl.edu/individual/n2922707967			1024	Hydrogen Research Facility	
http://vivo.ufl.edu/individual/n2954405925			236	Florida Pool Compressor Bldg	
http://vivo.ufl.edu/individual/n2962407360			816	Distillation Building	
http://vivo.ufl.edu/individual/n2975198837			421	Lambda Chi Alpha	
http://vivo.ufl.edu/individual/n2976104088			67	Observatory	
http://vivo.ufl.edu/individual/n2990930988			361	Housing Bus Shelter at Maguire	
http://vivo.ufl.edu/individual/n2994127641			840	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n299658712			263	IFAS Pump House	
http://vivo.ufl.edu/individual/n2999219248			368	Maguire 4	
http://vivo.ufl.edu/individual/n3009560522			61	CSE Generator	
http://vivo.ufl.edu/individual/n301001				D11-41	
http://vivo.ufl.edu/individual/n3043556964			664	IFAS Warehouse	
http://vivo.ufl.edu/individual/n3053293297			751	Robert Calder Beaty Towers B	
http://vivo.ufl.edu/individual/n3061315497			48	CWP #1 Weil Cooling Towers	
http://vivo.ufl.edu/individual/n309345191			301	Diamond	
http://vivo.ufl.edu/individual/n3095030787			306	Diamond	
http://vivo.ufl.edu/individual/n3125495431			500	Fiber Hut CSE	
http://vivo.ufl.edu/individual/n3138203392			633	ACS Storage	
http://vivo.ufl.edu/individual/n3143838822			705	Physical Plant Central Stores	
http://vivo.ufl.edu/individual/n3149145908			356	Pool Maintenance Bldg-Housing	
http://vivo.ufl.edu/individual/n3155313027			83	Bat House 1	
http://vivo.ufl.edu/individual/n3159579213			666	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n3162296771			1093	Sports Sign West	
http://vivo.ufl.edu/individual/n3179498081			868	UF Substation #9	
http://vivo.ufl.edu/individual/n3195000104			380	Maguire 16	
http://vivo.ufl.edu/individual/n3206271639			1273	"Greenhouse, Entomology"	
http://vivo.ufl.edu/individual/n3237136201			825	Agric Engineering Field Lab	
http://vivo.ufl.edu/individual/n3245811577			303	Diamond	
http://vivo.ufl.edu/individual/n3254216697			158	Yon Hall	
http://vivo.ufl.edu/individual/n3256899905			1287	"Greenhouse, Turfgrass"	
http://vivo.ufl.edu/individual/n3273312555			334	University Village Laundry	
http://vivo.ufl.edu/individual/n3273929886			969	Shadehouse	
http://vivo.ufl.edu/individual/n3292648120			457	Shands In-Patient MRI Building	
http://vivo.ufl.edu/individual/n3300475825			972	"Greenhouse, Fruit Crops"	
http://vivo.ufl.edu/individual/n3301383714			1185	Lakeside Residential Complex	
http://vivo.ufl.edu/individual/n33166		http://performingarts.ufl.edu/venues/baughman-center/	983	Baughman Center	
http://vivo.ufl.edu/individual/n3320277034			707	Physical Plant Garage	
http://vivo.ufl.edu/individual/n3351848403			709	Physical Plant Storage	
http://vivo.ufl.edu/individual/n3367132251			821	Golf Club Workshop	
http://vivo.ufl.edu/individual/n3368595996			341	Mcguire Ctr For Lepidoptera Research	
http://vivo.ufl.edu/individual/n3374390473			1054	CWP #5 Mccarty Cooling Towers	
http://vivo.ufl.edu/individual/n3390963931			1120	Lacrosse Ticket Booth	
http://vivo.ufl.edu/individual/n3393346170			593	May A. Mann Jennings Hall A	
http://vivo.ufl.edu/individual/n3413814599			696	"Shade House, Plant Pathology"	
http://vivo.ufl.edu/individual/n3439040189			88	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n3449212891			317	Chilled Water Plant #6	
http://vivo.ufl.edu/individual/n34692		http://performingarts.ufl.edu/venues/phillips-center/	315	Phillips Center for the Performing Arts	
http://vivo.ufl.edu/individual/n3479503446			619	Entomology Field Laboratory	
http://vivo.ufl.edu/individual/n3494012269			265	Student RecreationandFitness Ctr	
http://vivo.ufl.edu/individual/n3506958112			758	Chilled Water Plant #7	
http://vivo.ufl.edu/individual/n35233281			440	IFAS Extension Bookstore	
http://vivo.ufl.edu/individual/n3525330596			1080	Springs Residential Complex	
http://vivo.ufl.edu/individual/n3526284956			1091	Parking Garage 6 (SW 16th St)	
http://vivo.ufl.edu/individual/n3542426664			321	University Village	
http://vivo.ufl.edu/individual/n3551308170			182	"Field Lab/Trailer, Forestry"	
http://vivo.ufl.edu/individual/n3555345684			30	Rae O. Weimer Hall	
http://vivo.ufl.edu/individual/n3556061882			433	IFAS Pump House	
http://vivo.ufl.edu/individual/n355966621			704	Physical Plant Grounds	
http://vivo.ufl.edu/individual/n3568861692			1209	"Headhouse, Ornamental Horticulture"	
http://vivo.ufl.edu/individual/n3578248632			243	Environmental Biotech. Lab	
http://vivo.ufl.edu/individual/n3583311558			1135	Materials Recycling Research	
http://vivo.ufl.edu/individual/n3600809513			1358	"Entomology Shadehouse, North"	
http://vivo.ufl.edu/individual/n3615204616			471	Veterinary Science	
http://vivo.ufl.edu/individual/n3621382708			371	Maguire 7	
http://vivo.ufl.edu/individual/n3622110165			952	Storage Bldg	
http://vivo.ufl.edu/individual/n3623901693			807	Physical Plant Masonry Shop	
http://vivo.ufl.edu/individual/n363006706			956	Storage Bldg	
http://vivo.ufl.edu/individual/n36478			100	Robert C. Williamson Hall;Williamson Hall	
http://vivo.ufl.edu/individual/n3649190932			602	ACS Storage	
http://vivo.ufl.edu/individual/n3656275479			1266	"Greenhouse, Fruit Crops"	
http://vivo.ufl.edu/individual/n3657370901			1285	"Greenhouse, Turfgrass"	
http://vivo.ufl.edu/individual/n3662681512			226	Microfabritech East	
http://vivo.ufl.edu/individual/n3684217983			839	Soils Equipment Building	
http://vivo.ufl.edu/individual/n3689859767			1045	Sterilization Shed	
http://vivo.ufl.edu/individual/n3694596430			430	Beta Theta Pi	
http://vivo.ufl.edu/individual/n3694664245			106	Office Building	
http://vivo.ufl.edu/individual/n369976224			1019	Vet Med Reproduction Barn	
http://vivo.ufl.edu/individual/n370746520			934	"Greenhouse, Agronomy"	
http://vivo.ufl.edu/individual/n3715301563			552	Florida Pool Office/Lockers	
http://vivo.ufl.edu/individual/n3723159860			1357	Storage	
http://vivo.ufl.edu/individual/n3741780853			1018	Courtelis Equine Teaching Hosp	
http://vivo.ufl.edu/individual/n3761436180			678	Golf Cart Storage	
http://vivo.ufl.edu/individual/n3762331064			345	IFAS Laboratory (Agy)	
http://vivo.ufl.edu/individual/n3763669334			809	Physical Plant Grounds Administration	
http://vivo.ufl.edu/individual/n3769364209			1298	Entomology Greenhouse	
http://vivo.ufl.edu/individual/n3771501187			1199	Housing Supply Warehouse	
http://vivo.ufl.edu/individual/n3773158185			427	Theta Chi	
http://vivo.ufl.edu/individual/n377340595			203	Communicore	
http://vivo.ufl.edu/individual/n3774124096			93	Florida Outdoor Pool	
http://vivo.ufl.edu/individual/n3781869003			202	Shands Patient Services Bldg	
http://vivo.ufl.edu/individual/n3790888436			268	Architecture	
http://vivo.ufl.edu/individual/n3804284341			288	Corry	
http://vivo.ufl.edu/individual/n3804891061			151	Varsity Tennis Building	
http://vivo.ufl.edu/individual/n3816738374			573	Sports Field House	
http://vivo.ufl.edu/individual/n3826615683			803	Mccarty Annex B	
http://vivo.ufl.edu/individual/n3852188013			616	Agric Engineering Field Lab	
