Name|State|Longitude|Latitude
Ontario|California|34.0395N|117.6088W
Tempe|Arizona|33.3884N|111.9318W
Vancouver|Washington|45.6372N|122.5965W
Springfield|Missouri|37.1942N|93.2913W
Cape Coral|Florida|26.6431N|81.9973W
Pembroke Pines|Florida|26.0212N|80.3404W
Sioux Falls|South Dakota|43.5383N|96.7320W
Peoria|Arizona|33.7877N|112.3111W
Lancaster|California|34.6936N|118.1753W
Elk Grove|California|38.4144N|121.3849W
Corona|California|33.8624N|117.5639W
Eugene|Oregon|44.0567N|123.1162W
Salem|Oregon|44.9237N|123.0231W
Palmdale|California|34.5913N|118.1090W
Salinas|California|36.6902N|121.6337W
Springfield|Massachusetts|42.1155N|72.5400W
Pasadena|Texas|29.6583N|95.1505W
Rockford|Illinois|42.2634N|89.0628W
Pomona|California|34.0586N|117.7613W
Hayward|California|37.6281N|122.1063W
Fort Collins|Colorado|40.5482N|105.0648W
Joliet|Illinois|41.5181N|88.1584W
Escondido|California|33.1336N|117.0732W
Kansas City|Kansas|39.1225N|94.7418W
Torrance|California|33.8350N|118.3414W
Bridgeport|Connecticut|41.1874N|73.1957W
Alexandria|Virginia|38.8183N|77.0820W
Sunnyvale|California|37.3858N|122.0263W
Cary|North Carolina|35.7821N|78.8141W
Lakewood|Colorado|39.6989N|105.1176W
Hollywood|Florida|26.0311N|80.1646W
Paterson|New Jersey|40.9147N|74.1628W
Syracuse|New York|43.0410N|76.1436W
Naperville|Illinois|41.7492N|88.1620W
McKinney|Texas|33.2012N|96.6680W
Mesquite|Texas|32.7639N|96.5924W
Clarksville|Tennessee|36.5664N|87.3452W
Savannah|Georgia|32.0025N|81.1536W
Dayton|Ohio|39.7774N|84.1996W
Orange|California|33.8048N|117.8249W
Fullerton|California|33.8857N|117.9280W
Pasadena|California|34.1606N|118.1396W
Hampton|Virginia|37.0480N|76.2971W
McAllen|Texas|26.2185N|98.2461W
Killeen|Texas|31.0777N|97.7320W
Warren|Michigan|42.4929N|83.0250W
West Valley City|Utah|40.6885N|112.0118W
Columbia|South Carolina|34.0298N|80.8966W
New Haven|Connecticut|41.3108N|72.9250W
Sterling Heights|Michigan|42.5812N|83.0303W
Olathe|Kansas|38.8843N|94.8188W
Miramar|Florida|25.9770N|80.3358W
Thousand Oaks|California|34.1933N|118.8742W
Frisco|Texas|33.1510N|96.8193W
Cedar Rapids|Iowa|41.9670N|91.6778W
Topeka|Kansas|39.0362N|95.6948W
Visalia|California|36.3272N|119.3234W
Waco|Texas|31.5601N|97.1860W
Elizabeth|New Jersey|40.6663N|74.1935W
Bellevue|Washington|47.5978N|122.1565W
Gainesville|Florida|29.6788N|82.3459W
Simi Valley|California|34.2669N|118.7485W
Charleston|South Carolina|32.8179N|79.9589W
Carrollton|Texas|32.9884N|96.8998W
Coral Springs|Florida|26.2708N|80.2593W
Stamford|Connecticut|41.0799N|73.5460W
Hartford|Connecticut|41.7660N|72.6833W
Concord|California|37.9722N|122.0016W
Roseville|California|38.7657N|121.3032W
Thornton|Colorado|39.9180N|104.9454W
Kent|Washington|47.3853N|122.2169W
Lafayette|Louisiana|30.2116N|92.0314W
Surprise|Arizona|33.6706N|112.4527W
Denton|Texas|33.2151N|97.1417W
Victorville|California|34.5277N|117.3536W
Evansville|Indiana|37.9877N|87.5347W
Midland|Texas|32.0299N|102.1097W
