uri	label	narrower	broader
http://vivoweb.org/ontology/degree/academicDegree114	M.S.P.H. Master of Science in Public Health		
http://vivoweb.org/ontology/degree/academicDegree115	M.L.I.S. Master of Library and Information Science 		
http://vivoweb.org/ontology/degree/academicDegree116	Dip.Ed. Diploma of Education		
http://vivoweb.org/ontology/degree/academicDegree117	M.Sc. Master of Science		
http://vivoweb.org/ontology/degree/academicDegree118	ADN Associate Degree Nursing		
http://vivoweb.org/ontology/degree/academicDegree119	Psy.D. Doctor of Psychology		
http://vivoweb.org/ontology/degree/academicDegree12	B.Arch. Bachelor of Architecture		
http://vivoweb.org/ontology/degree/academicDegree120	B.S.E. Bachelor of Science in Engineering		
http://vivoweb.org/ontology/degree/academicDegree121	Sc.B. Bachelor of Science		
http://vivoweb.org/ontology/degree/academicDegree122	M.H.S. Master of Health Science		
http://vivoweb.org/ontology/degree/academicDegree123	Sc.M. Master of Science		
http://vivoweb.org/ontology/degree/academicDegree124	B.A.S. Bachelor of Applied Science		
http://vivoweb.org/ontology/degree/academicDegree125	D.M.Sc. Doctor of Medical Science		
http://vivoweb.org/ontology/degree/academicDegree126	M.M.S. Master of Management Studies		
http://vivoweb.org/ontology/degree/academicDegree127	A.S. Associate of Science		
http://vivoweb.org/ontology/degree/academicDegree128	B.V.S. Bachelor of Veterinary Science		
http://vivoweb.org/ontology/degree/academicDegree129	M.V.Sc. Master of Veterinary Science		
http://vivoweb.org/ontology/degree/academicDegree13	B.B.A. Bachelor of Business Administration		
http://vivoweb.org/ontology/degree/academicDegree130	B.S.N. Bachelor of Science in Nursing		
http://vivoweb.org/ontology/degree/academicDegree131	M.Med. Master of Medicine		
http://vivoweb.org/ontology/degree/academicDegree132	A.A. Associate of Arts		
http://vivoweb.org/ontology/degree/academicDegree133	Ed.M Master of Education		
http://vivoweb.org/ontology/degree/academicDegree134	M.S.E. Master of Science in Engineering		
http://vivoweb.org/ontology/degree/academicDegree135	F.R.C.S. Fellowship of the Royal College of Surgeons		
http://vivoweb.org/ontology/degree/academicDegree136	B.S.F.S. Bachelor of Science in Forensic Science		
http://vivoweb.org/ontology/degree/academicDegree137	M.I.A. Master of International Affairs		
http://vivoweb.org/ontology/degree/academicDegree138	B.N.S. Bachelor of Science in Nursing		
http://vivoweb.org/ontology/degree/academicDegree139	D.P.M. Doctor of Podiatric Medicine		
http://vivoweb.org/ontology/degree/academicDegree14	B.C.E. Bachelor of Civil Engineering		
http://vivoweb.org/ontology/degree/academicDegree140	M.Ch.E. Master of Chemical Engineering		
http://vivoweb.org/ontology/degree/academicDegree141	M.B.E. Master of Business Engineering		
http://vivoweb.org/ontology/degree/academicDegree142	Pharm.B. Bachelor of Pharmacy		
