number|month|year|author|title|journal|volume|doi|type|uri|remove|start_page|end_page
7|JUL|2015|Nectoux, Juliette and de Cid, Rafael and Baulande, Sylvain and Leturcq, France and Urtizberea, Jon Andoni and Penisson-Besnier, Isabelle and Nadaj-Pakleza, Aleksandra and Roudaut, Carinne and Criqui, Audrey and Orhant, Lucie and Peyroulan, Delphine and Ben Yaou, Raba and Nelson, Isabelle and Cobo, Anna Maria and Arne-Bes, Marie-Christine and Uro-Coste, Emmanuelle and Nitschke, Patrick and Claustres, Mireille and Bonne, Gisele and Levy, Nicolas and Chelly, Jamel and Richard, Isabelle and Cossee, Mireille|Detection of Trim32 Deletions in Lgmd Patients Analyzed By a Combined Strategy of Cgh Array and Massively Parallel Sequencing|EUROPEAN JOURNAL OF HUMAN GENETICS|23|10.1038/ejhg.2014.223|article|||929|934
|JUL|2015|Adams, Curtis B. and Erickson, John E. and Singh, Maninder P.|Investigation and Synthesis of Sweet Sorghum Crop Responses to Nitrogen and Potassium Fertilization|FIELD CROPS RESEARCH|178|10.1016/j.fcr.2015.03.014|article|||1|7
|JUL|2015|Tripathi, Ajai K. and Haldar, Swati and Qian, Juan and Beserra, Amber and Suda, Srinivas and Singh, Ajay and Hopfer, Ulrich and Chen, Shu G. and Garrick, Michael D. and Turner, Jerrold R. and Knutson, Mitchell D. and Singh, Neena|Prion Protein Functions As a Ferrireductase Partner for Zip14 and Dmt1|FREE RADICAL BIOLOGY AND MEDICINE|84|10.1016/j.freeradbiomed.2015.03.037|article|||322|330
1|JUL|2015|Appelberg, K. Sofia and Goodenow, Maureen M.|Editorial: Passive Aggressive Avoidance of Samhd1 Restriction By Hiv-1|JOURNAL OF LEUKOCYTE BIOLOGY|98|10.1189/jlb.4CE0215-044R|article|||1|3
4|JUL-AUG|2015|Broome, Susan Brantlee and Lutz, Barbara J. and Cook, Christa|Becoming the Parent of a Child With Life-Threatening Food Allergies|JOURNAL OF PEDIATRIC NURSING-NURSING CARE OF CHILDREN and FAMILIES|30|10.1016/j.pedn.2014.10.012|article|||532|542
7|JUL|2015|Walker, David and Matsuki, Keisuke and Struk, Aimee M. and Wright, Thomas W. and Banks, Scott A.|Scapulohumeral Rhythm in Shoulders With Reverse Shoulder Arthroplasty|JOURNAL OF SHOULDER AND ELBOW SURGERY|24|10.1016/j.jse.2014.11.043|article|||1129|1134
7|JUL|2015|Bachler, Patricia R. and Wagener, Kenneth B.|Functional Precision Polymers Via Admet Polymerization|MONATSHEFTE FUR CHEMIE|146|10.1007/s00706-015-1479-7|article|||1053|1061
3|JUL|2015|Ploetz, Randy and Freeman, Stanley and Konkol, Joshua and Al-Abed, Adel and Naser, Ziad and Shalan, Khalaf and Barakat, Radwan and Israeli, Yair|Tropical Race 4 of Panama Disease in the Middle East|PHYTOPARASITICA|43|10.1007/s12600-015-0470-5|article|||283|293
7|JUL|2015|Ferrari, Vera and Bradley, Margaret M. and Codispoti, Maurizio and Lang, Peter J.|Massed and Distributed Repetition of Natural Scenes: Brain Potentials and Oscillatory Activity|PSYCHOPHYSIOLOGY|52|10.1111/psyp.12424|article|||865|872
1|JUL|2015|Rahman, Maryam and Donnangelo, Lauren L. and Neal, Dan and Mogali, Kiran and Decker, Matthew and Ahmed, Mustafa M.|Effects of Perioperative Acetyl Salicylic Acid on Clinical Outcomes in Patients Undergoing Craniotomy for Brain Tumor|WORLD NEUROSURGERY|84|10.1016/j.wneu.2015.02.016|article|||41|47
24|JUN 24|2015|Fang, Yin and Ni, Yongliang and Choi, Baeck and Leo, Sin-Yen and Gao, Jian and Ge, Beverly and Taylor, Curtis and Basile, Vito and Jiang, Peng|Chromogenic Photonic Crystals Enabled By Novel Vapor-Responsive Shape-Memory Polymers|ADVANCED MATERIALS|27|10.1002/adma.201500835|article|||3696|3704
12|JUN 15|2015|Borst, Stephen E. and Yarrow, Joshua F.|Injection of Testosterone May Be Safer and More Effective Than Transdermal Administration for Combating Loss of Muscle and Bone in Older Men|AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM|308|10.1152/ajpendo.00111.2015|article|||E1035|E1042
12|JUN 15|2015|Lee, Hyun-Wook and Osis, Gunars and Handlogten, Mary E. and Guo, Hui and Verlander, Jill W. and Weiner, I. David|Effect of Dietary Protein Restriction on Renal Ammonia Metabolism|AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY|308|10.1152/ajprenal.00077.2015|article|||F1463|F1473
1-2|JUN 15|2015|Rastogi, Vaibhav and Lamb, Damon G. and Williamson, John B. and Stead, Thor S. and Penumudi, Rachel and Bidari, Sharathchandra and Ganti, Latha and Heilman, Kenneth M. and Hedna, Vishnumurthy S.|Hemispheric Differences in Malignant Middle Cerebral Artery Stroke|JOURNAL OF THE NEUROLOGICAL SCIENCES|353|10.1016/j.jns.2015.04.036|article|||20|27
12|JUN 15|2015|Dai, Xianjin and Xi, Lei and Duan, Can and Yang, Hao and Xie, Huikai and Jiang, Huabei|Miniature Probe Integrating Optical-Resolution Photoacoustic Microscopy, Optical Coherence Tomography, and Ultrasound Imaging: Proof-Of-Concept|OPTICS LETTERS|40|10.1364/OL.40.002921|article|||2921|2924
12|JUN 12|2015|Park, Hyo-Jin and Ran, Yong and Jung, Joo In and Holmes, Oliver and Price, Ashleigh R. and Smithson, Lisa and Ceballos-Diaz, Carolina and Han, Chul and Wolfe, Michael S. and Daaka, Yehia and Ryabinin, Andrey E. and Kim, Seong-Hun and Hauger, Richard L. and Golde, Todd E. and Felsenstein, Kevin M.|The Stress Response Neuropeptide Crf Increases Amyloid-Beta Production By Regulating Gamma-Secretase Activity|EMBO JOURNAL|34||article|||1674|1686
|JUN 12|2015|Williams, Julie C. and Klein, Thomas W. and Goldberger, Bruce A. and Sleasman, John W. and Mackman, Nigel and Goodenow, Maureen M.|Delta(9)-Tetrahydrocannabinol (Thc) Enhances Lipopolysaccharide-Stimulated Tissue Factor in Human Monocytes and Monocyte-Derived Microvesicles|JOURNAL OF INFLAMMATION-LONDON|12|10.1186/s12950-015-0084-1|article||||
24|JUN 12|2015|Wang, Yun-Peng and Cheng, Hai-Ping|First-Principles Simulations of a Graphene-Based Field-Effect Transistor|PHYSICAL REVIEW B|91|10.1103/PhysRevB.91.245307|article||||
11|JUN 11|2015|Ericson, Mark D. and Wilczynski, Andrzej and Sorensen, Nicholas B. and Xiang, Zhimin and Haskell-Luevano, Carrie|Discovery of a Beta-Hairpin Octapeptide, C{[}Pro-Arg-Phe-Phe-Dap-Ala-Phe-Dpro], Mimetic of Agouti-Related Protein(87-132) {[}Agrp(87-132)] With Equipotent Mouse Melanocortin-4 Receptor (Mmc4R) Antagonist Pharmacology|JOURNAL OF MEDICINAL CHEMISTRY|58|10.1021/acs.jmedchem.5b00184|article|||4638|4647
6|JUN 11|2015|Maurya, Devendra Kumar and Henriques, Tiago and Marini, Monica and Pedemonte, Nicoletta and Galietta, Luis J. V. and Rock, Jason R. and Harfe, Brian D. and Menini, Anna|Development of the Olfactory Epithelium and Nasal Glands in Tmem16A(-/-) and Tmem16A(+/+) Mice|PLOS ONE|10|10.1371/journal.pone.0129171|article||||
|JUN 10|2015|Lee, Choong H. and Flint, Jeremy J. and Hansen, Brian and Blackband, Stephen J.|Investigation of the Subcellular Architecture of L7 Neurons of Aplysia Californica Using Magnetic Resonance Microscopy (Mrm) at 7.8 Microns|SCIENTIFIC REPORTS|5|10.1038/srep11147|article||||
|JUN 10|2015|Yang, Zhihui and Wang, Ping and Morgan, Drake and Lin, Dan and Pan, Jianchun and Lin, Fan and Strang, Kevin H. and Selig, Tyler M. and Perez, Pablo D. and Febo, Marcelo and Chang, Binggong and Rubenstein, Richard and Wang, Kevin K. W.|Temporal MRI Characterization, Neurobiochemical and Neurobehavioral Changes in a Mouse Repetitive Concussive Head Injury Model|SCIENTIFIC REPORTS|5|10.1038/srep11178|article||||
22|JUN 10|2015|Ooi, Frances and DuChene, Joseph S. and Qiu, Jingjing and Graham, Jeremy O. and Engelhard, Mark H. and Cao, Guixin and Gai, Zheng and Wei, Wei David|A Facile Solvothermal Synthesis of Octahedral Fe3O4 Nanoparticles|SMALL|11|10.1002/smll.201401954|article|||2649|2653
|JUN 9|2015|Dickey, Aaron M. and Kumar, Vivek and Morgan, J. Kent and Jara-Cavieres, Antonella and Shatters, Jr., Robert G. and McKenzie, Cindy L. and Osborne, Lance S.|A Novel Mitochondrial Genome Architecture in Thrips (Insecta: Thysanoptera): Extreme Size Asymmetry Among Chromosomes and Possible Recent Control Region Duplication|BMC GENOMICS|16|10.1186/s12864-015-1672-4|article||||
