number|month|year|author|title|journal|volume|doi|type|uri|remove|start_page|end_page
6|JUN 5|2015|Hargrove, John S. and Weyl, Olaf L. F. and Allen, Micheal S. and Deacon, Neil R.|Using Tournament Angler Data to Rapidly Assess the Invasion Status of Alien Sport Fishes (Micropterus Spp.) in Southern Africa|PLOS ONE|10|10.1371/journal.pone.0130056|article||||
6|JUN 5|2015|Ran, Yong and Ladd, Gabriela Z. and Ceballos-Diaz, Carolina and Jung, Joo In and Greenbaum, Doron and Felsenstein, Kevin M. and Golde, Todd E.|Differential Inhibition of Signal Peptide Peptidase Family Members By Established Gamma-Secretase Inhibitors|PLOS ONE|10|10.1371/journal.pone.0128619|article||||
|JUN 3|2015|Schwartzt, Allison R. and Potnist, Neha and Milsina, Sujan and Wilson, Mark and Patane, Jose and Martins, Jr., Joaquim and Minsavage, Gerald V. and Dahlbeck, Douglas and Akhunova, Alina and Almeida, Nalvo and Vallad, Gary E. and Barak, Jeri D. and White, Frank F. and Miller, Sally A. and Ritchie, David and Goss, Erica and Bart, Rebecca S. and Setubal, Joao C. and Jones, Jeffrey B. and Staskawicz, Brian J.|Phylogenomics of Xanthomonas Field Strains Infecting Pepper and Tomato Reveals Diversity in Effector Repertoires and Identifies Determinants of Host Specificity|FRONTIERS IN MICROBIOLOGY|6|10.3389/fmicb.2015.00535|article||||
21|JUN 3|2015|Zhang, Liqin and Yang, Zunyi and Sefah, Kwame and Bradley, Kevin M. and Hoshika, Shuichi and Kim, Myong-Jung and Kim, Hyo-Joong and Zhu, Guizhi and Jimenez, Elizabeth and Cansiz, Sena and Teng, I-Ting and Champanhac, Carole and McLendon, Christopher and Liu, Chen and Zhang, Wen and Gerloff, Dietlind L. and Huang, Zhen and Tan, Weihong and Benner, Steven A.|Evolution of Functional Six-Nucleotide DNA|JOURNAL OF THE AMERICAN CHEMICAL SOCIETY|137|10.1021/jacs.5b02251|article|||6734|6737
6|JUN 3|2015|Skeie, Eli and Strand, Elin and Pedersen, Eva R. and Bjorndal, Bodil and Bohov, Pavol and Berge, Rolf K. and Svingen, Gard F. T. and Seifert, Reinhard and Ueland, Per M. and Midttun, Oivind and Ulvik, Arve and Hustad, Steinar and Drevon, Christian A. and Gregory, Jesse F. and Nygard, Ottar|Circulating B-Vitamins and Smoking Habits Are Associated With Serum Polyunsaturated Fatty Acids in Patients With Suspected Coronary Heart Disease: a Cross-Sectional Study|PLOS ONE|10|10.1371/journal.pone.0129049|article||||
11|JUN 2|2015|Zhou, Liyi and Zhang, Xiaobing and Lv, Yifan and Yang, Chao and Lu, Danqing and Wu, Yuan and Chen, Zhuo and Liu, Qiaoling and Tan, Weihong|Localizable and Photoactivatable Fluorophore for Spatiotemporal Two-Photon Bioimaging|ANALYTICAL CHEMISTRY|87|10.1021/acs.analchem.5b00691|article|||5626|5631
11|JUN 2|2015|Clendinen, Chaevien S. and Pasquel, Christian and Ajredini, Ramadan and Edison, Arthur S.|C-13 NMR Metabolomics: Inadequate Network Analysis|ANALYTICAL CHEMISTRY|87|10.1021/acs.analchem.5b00867|article|||5698|5706
22|JUN 2|2015|Lewis, Michael W. and Brant, Jason O. and Kramer, Joseph M. and Moss, James I. and Yang, Thomas P. and Hansen, Peter J. and Williams, R. Stan and Resnick, James L.|Angelman Syndrome Imprinting Center Encodes a Transcriptional Promoter|PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA|112|10.1073/pnas.1411261111|article|||6871|6875
11|JUN 1|2015|Cunningham, Jr., Mark W. and West, Crystal A. and Wen, Xuerong and Deng, Aihua and Baylis, Chris|Pregnant Rats Treated With a High-Fat/Prooxidant Western Diet With Ang II and Tnf-Alpha Are Resistant to Elevations in Blood Pressure and Renal Oxidative Stress|AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY|308|10.1152/ajpregu.00141.2014|article|||R945|R956
22|JUN 1|2015|Bowland, Christopher C. and Malakooti, Mohammad H. and Zhou, Zhi and Sodano, Henry A.|Highly Aligned Arrays of High Aspect Ratio Barium Titanate Nanowires Via Hydrothermal Synthesis|APPLIED PHYSICS LETTERS|106|10.1063/1.4922277|article||||
6|JUN|2015|Sinnott, Jennifer A. and Rider, Jennifer R. and Carlsson, Jessica and Gerke, Travis and Tyekucheva, Svitlana and Penney, Kathryn L. and Sesso, Howard D. and Loda, Massimo and Fall, Katja and Stampfer, Meir J. and Mucci, Lorelei A. and Pawitan, Yudi and Andersson, Sven-Olof and Andren, Ove|Molecular Differences in Transition Zone and Peripheral Zone Prostate Tumors|CARCINOGENESIS|36|10.1093/carcin/bgv051|article|||632|638
|JUN|2015|Sadovykh, Valeria and Sundaram, David and Piramuthu, Selwyn|Do Decision-Making Structure and Sequence Exist in Health Online Social Networks?|DECISION SUPPORT SYSTEMS|74|10.1016/j.dss.2015.03.007|article|||102|120
9|JUN|2015|Beavers, Craig J. and Carris, Nicolas W. and Ruf, Kathryn M.|Management Strategies for Clopidogrel Hypersensitivity|DRUGS|75|10.1007/s40265-015-0414-x|article|||999|1007
3|JUN|2015|Madhavan, Aarthi and Carnaby, Giselle D. and Crary, Michael A.|`Food Sticking in My Throat': Videofluoroscopic Evaluation of a Common Symptom|DYSPHAGIA|30|10.1007/s00455-015-9605-6|article|||343|348
6|JUN|2015|King-Stephens, David and Mirro, Emily and Weber, Peter B. and Laxer, Kenneth D. and Van Ness, Paul C. and Salanova, Vicenta and Spencer, David C. and Heck, Christianne N. and Goldman, Alica and Jobst, Barbara and Shields, Donald C. and Bergey, Gregory K. and Eisenschenk, Stephan and Worrell, Gregory A. and Rossi, Marvin A. and Gross, Robert E. and Cole, Andrew J. and Sperling, Michael R. and Nair, Dileep R. and Gwinn, Ryder P. and Park, Yong D. and Rutecki, Paul A. and Fountain, Nathan B. and Wharen, Robert E. and Hirsch, Lawrence J. and Miller, Ian O. and Barkley, Gregory L. and Edwards, Jonathan C. and Geller, Eric B. and Berg, Michel J. and Sadler, Toni L. and Sun, Felice T. and Morrell, Martha J.|Lateralization of Mesial Temporal Lobe Epilepsy With Chronic Ambulatory Electrocorticography|EPILEPSIA|56|10.1111/epi.13010|article|||959|967
3|JUN|2015|Dinh, Thang N. and Thai, My T.|Network Under Joint Node and Link Attacks: Vulnerability Assessment Methods and Analysis|IEEE-ACM TRANSACTIONS ON NETWORKING|23|10.1109/TNET.2014.2317486|article|||1001|1011
3|JUN|2015|Maslowski, Grzegorz and Rakov, Vladimir A. and Wyderka, Stanislaw and Ziemba, Robert and Karnas, Grzegorz and Filik, Kamil|Current Impulses in the Lightning Protection System of a Test House in Poland|IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY|57|10.1109/TEMC.2014.2382556|article|||425|433
3|JUN|2015|Tran Huu Thang and Baba, Yoshihiro and Rakov, Vladimir A. and Piantini, Alexandre|Fdtd Computation of Lightning-Induced Voltages on Multiconductor Lines With Surge Arresters and Pole Transformers|IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY|57|10.1109/TEMC.2014.2382115|article|||442|447
3|JUN|2015|Xu, Jun and Wang, Shuo|Investigating a Guard Trace Ring to Suppress the Crosstalk Due to a Clock Trace on a Power Electronics Dsp Control Board|IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY|57|10.1109/TEMC.2015.2403289|article|||546|554
6|JUN|2015|Nieh, Chien-Ming and Wei, Changyu and Lin, Jenshan|Concurrent Detection of Vibration and Distance Using Unmodulated Cw Doppler Vibration Radar With An Adaptive Beam-Steering Antenna|IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES|63|10.1109/TMTT.2015.2422692|article|||2069|2078
6|JUN|2015|Winfrey, A. Leigh and Mittal, Shawn and Abd Al-Halim, Mohamed A.|Hyper Jet Focused-Injection Tapered Capillary Plasma Source Concept|IEEE TRANSACTIONS ON PLASMA SCIENCE|43|10.1109/TPS.2015.2417878|article|||2104|2109
6|JUN|2015|Yaghjyan, L. and Sites, S. and Ruan, Y. and Chang, S-H|Associations of Urinary Phthalates With Body Mass Index, Waist Circumference and Serum Lipids Among Females: National Health and Nutrition Examination Survey 1999-2004|INTERNATIONAL JOURNAL OF OBESITY|39|10.1038/ijo.2015.8|article|||994|1000
6|JUN|2015|Li, Wenhua and Chalam, Kakarla V. and Grover, Sandeep|Bilateral Choroidal Detachment in Waldenstrom Macroglobulinemia|JAMA OPHTHALMOLOGY|133|10.1001/jamaophthalmol.2015.64|article|||715|716
1|JUN|2015|Kadiyala, M. D. M. and Jones, James. W. and Mylavarapu, R. S. and Li, Y. C. and Reddy, M. D. and Umadevi, M.|Study of Spatial Water Requirements of Rice Under Various Crop Establishment Methods Using GIS and Crop Models|JOURNAL OF AGROMETEOROLOGY|17||article|||1|10
2|SUM|2015|Fahmie, Tara A. and Iwata, Brian A. and Jann, Kathryn E.|Comparison of Edible and Leisure Reinforcers|JOURNAL OF APPLIED BEHAVIOR ANALYSIS|48|10.1002/jaba.200|article|||331|343
2|JUN|2015|Esenwein, George|The Republican Army in the Spanish Civil War, 1936-1939|JOURNAL OF MODERN HISTORY|87|10.1086/681188|article|||475|477
2|JUN|2015|Goda, Norman J. W.|Allen Dulles, the Oss, and Nazi War Criminals: the Dynamics of Selective Prosecution|JOURNAL OF MODERN HISTORY|87|10.1086/681196|article|||490|491
2, SI|JUN|2015|Harland-Jacobs, Jessica L.|Incorporating the King's New Subjects: Accommodation and Anti-Catholicism in the British Empire, 1763-1815|JOURNAL OF RELIGIOUS HISTORY|39|10.1111/1467-9809.12183|article|||203|223
2|JUN 1|2015|Cooke, Brian K. and Delalot, Dominque and Werner, Tonia L.|Hall V. Florida: Capital Punishment, Iq, and Persons With Intellectual Disabilities|JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW|43||article|||230|234
6|JUN|2015|Kunka, Cody and Trachet, Alison and Subhash, Ghatu|Interaction of Indentation-Induced Cracks on Single-Crystal Silicon Carbide|JOURNAL OF THE AMERICAN CERAMIC SOCIETY|98|10.1111/jace.13525|article|||1891|1897
6|JUN|2015|El Haj, Alicia J. and Glossop, John R. and Sura, Harpal S. and Lees, Martin R. and Hu, Bin and Wolbank, Susanne and van Griensven, Martijn and Redl, Heinz and Dobson, Jon|An in Vitro Model of Mesenchymal Stem Cell Targeting Using Magnetic Particle Labelling|JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE|9|10.1002/term.1636|article|||724|733
2|JUN|2015|Ardente, Amanda J. and Hill, Richard C.|The Nutrient Composition of the Diet of Bottlenose Dolphins (Tursiops Truncatus) Is Better Assessed Relative to Metabolizable Energy Than Dry Matter|JOURNAL OF ZOO AND WILDLIFE MEDICINE|46||article|||198|204
2|JUN|2015|Gerlach, Trevor J. and Estrada, Amara H. and Sosa, Ivan S. and Powell, Melanie and Lamb, Kenneth E. and Ball, Ray L. and de Wit, Martine and Walsh, Mike T.|Establishment of Echocardiographic Parameters of Clinically Healthy Florida Manatees (Trichechus Manatus Latirostris)|JOURNAL OF ZOO AND WILDLIFE MEDICINE|46||article|||205|212
2|JUN|2015|Coelho de Moura, Charlys Rhands and Diniz, Anaemilia das Neves and Moura, Laecio da Silva and Araujo Sousa, Francisco das Chagas and Baltazar, Pollyana Irene and Freire, Larisse Danielle and Guerra, Porfirio Candanedo and de Sousa, Joao Macedo and Giglio, Robson Fortes and Pessoa, Gerson Tavares and de Sa, Renan Paraguassu and Alves, Flavio Ribeiro|Cardiothoracic Ratio and Vertebral Heart Scale in Clinically Normal Black-Rumped Agoutis (Dasyprocta Prymnolopha, Wagler 1831)|JOURNAL OF ZOO AND WILDLIFE MEDICINE|46||article|||314|319
5|JUN|2015|McCarty, Todd P. and Baddley, John W. and Walsh, Thomas J. and Alexander, Barbara D. and Kontoyiannis, Dimitrios P. and Perl, Trish M. and Walker, Randall and Patterson, Thomas F. and Schuster, Mindy G. and Lyon, G. Marshall and Wingard, John R. and Andes, David R. and Park, Benjamin J. and Brandt, Mary E. and Pappas, Peter G. and TRANSNET Investigators|Phaeohyphomycosis in Transplant Recipients: Results From the Transplant Associated Infection Surveillance Network (Transnet)|MEDICAL MYCOLOGY|53|10.1093/mmy/myv018|article|||440|446
6|JUN|2015|Barnes, Samesha R.|Mcnair Scholars Program Prepares Students for the Phd Program in Materials Research|MRS BULLETIN|40|10.1557/mrs.2015.132|article|||470|471
3|JUN|2015|Hughes, Christopher R. and Pelaez, Oswaldo and Schubring, Duwayne and Jordan, Kelly A.|Modification of Scwr Assembly Designs With Coupled Mcnp5/Sca Methods to Promote Safer Operation|NUCLEAR TECHNOLOGY|190||article|||292|300
3|JUN|2015|Pimiento, Catalina and Balk, Meghan A.|Body-Size Trends of the Extinct Giant Shark Carcharocles Megalodon: a Deep-Time Perspective on Marine Apex Predators|PALEOBIOLOGY|41|10.1017/pab.2015.16|article|||479|490
SI|JUN|2015|Mutunga, James M. and Anderson, Troy D. and Craft, Derek T. and Gross, Aaron D. and Swale, Daniel R. and Tong, Fan and Wong, Dawn M. and Carlier, Paul R. and Bloomquist, Jeffrey R.|Carbamate and Pyrethroid Resistance in the Akron Strain of Anopheles Gambiae|PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY|121|10.1016/j.pestbp.2015.03.001|article|||116|121
6|JUN|2015|Franklin, Janet and Ripplinger, Julie and Freid, Ethan H. and Marcano-Vega, Humfredo and Steadman, David W.|Regional Variation in Caribbean Dry Forest Tree Species Composition|PLANT ECOLOGY|216|10.1007/s11258-015-0474-8|article|||873|886
2|JUN|2015|Sjoberg, Laura|From Unity to Divergence and Back Again: Security and Economy in Feminist International Relations|POLITICS and GENDER|11|10.1017/S1743923X15000112|article|||408|413
2|JUN|2015|Allan, Darcey M. and Lonigan, Christopher J.|Relations Between Response Trajectories on the Continuous Performance Test and Teacher-Rated Problem Behaviors in Preschoolers|PSYCHOLOGICAL ASSESSMENT|27|10.1037/pas0000054|article|||678|688
6|JUN|2015|Strong, Amy L. and Bowles, Annie C. and MacCrimmon, Connor P. and Frazier, Trivia P. and Lee, Stephen J. and Wu, Xiying and Katz, Adam J. and Gawronska-Kozak, Barbara and Bunnell, Bruce A. and Gimble, Jeffrey M.|Adipose Stromal Cells Repair Pressure Ulcers in Both Young and Elderly Mice: Potential Role of Adipogenesis in Skin Repair|STEM CELLS TRANSLATIONAL MEDICINE|4|10.5966/sctm.2014-0235|article|||632|642
3|JUN|2015|de la Fuente, Lorena and Conesa, Ana and Lloret, Alba and Luisa Badenes, Maria and Rios, Gabino|Genome-Wide Changes in Histone H3 Lysine 27 Trimethylation Associated With Bud Dormancy Release in Peach|TREE GENETICS and GENOMES|11|10.1007/s11295-015-0869-7|article||||
3|JUN|2015|Zhang, Jianxing and Peter, Gary F. and Powell, Gregory L. and White, Timothy L. and Gezan, Salvador A.|Comparison of Breeding Values Estimated Between Single-Tree and Multiple-Tree Plots for a Slash Pine Population|TREE GENETICS and GENOMES|11|10.1007/s11295-015-0870-1|article||||
20|MAY 28|2015|Bazante, Alexandre P. and Davidson, E. R. and Bartlett, Rodney J.|The Benzene Radical Anion: a Computationally Demanding Prototype for Aromatic Anions|JOURNAL OF CHEMICAL PHYSICS|142|10.1063/1.4921261|article||||
20|MAY 21|2015|Schulz-Schuepke, Stefanie and Byrne, Robert A. and ten Berg, Jurrien M. and Neumann, Franz-Josef and Han, Yaling and Adriaenssens, Tom and Toelg, Ralph and Seyfarth, Melchior and Maeng, Michael and Zrenner, Bernhard and Jacobshagen, Claudius and Mudra, Harald and von Hodenberg, Eberhard and Woehrle, Jochen and Angiolillo, Dominick J. and von Merzljak, Barbara and Rifatov, Nonglag and Kufner, Sebastian and Morath, Tanja and Feuchtenberger, Antonia and Ibrahim, Tareq and Janssen, Paul W. A. and Valina, Christian and Li, Yi and Desmet, Walter and Abdel-Wahab, Mohamed and Tiroch, Klaus and Hengstenberg, Christian and Bernlochner, Isabell and Fischer, Marcus and Schunkert, Heribert and Laugwitz, Karl-Ludwig and Schoemig, Albert and Mehilli, Julinda and Kastrati, Adnan and Intracoronary Stenting Antithrombo|Isar-Safe: a Randomized, Double-Blind, Placebo-Controlled Trial of 6 Vs. 12 Months of Clopidogrel Therapy After Drug-Eluting Stenting|EUROPEAN HEART JOURNAL|36|10.1093/eurheartj/ehu523|article|||1252|1263
